drug,time,grade,year,estimate,LBYear1,LBYear2
Energy Shots,Daily,10th Grade,2016,3.3,,
Energy Shots,Daily,10th Grade,2017,3.3,,
Energy Shots,Daily,10th Grade,2018,3.8,,
Energy Shots,Daily,10th Grade,2019,4.1,,
Energy Shots,Daily,10th Grade,2021,2.6,,
Energy Shots,Daily,10th Grade,2022,4.7,,
Energy Shots,Daily,10th Grade,2023,3.5,,
Energy Shots,Daily,10th Grade,2024,4.1,,
Energy Shots,Daily,12th Grade,2010,4.3,,
Energy Shots,Daily,12th Grade,2011,4,,
Energy Shots,Daily,12th Grade,2012,2.7,,
Energy Shots,Daily,12th Grade,2013,2.5,,
Energy Shots,Daily,12th Grade,2014,2.1,,
Energy Shots,Daily,12th Grade,2015,3.1,,
Energy Shots,Daily,12th Grade,2016,4.1,,
Energy Shots,Daily,12th Grade,2017,3.8,,
Energy Shots,Daily,12th Grade,2018,4.2,,
Energy Shots,Daily,12th Grade,2019,4.1,,
Energy Shots,Daily,12th Grade,2021,2.9,,
Energy Shots,Daily,12th Grade,2022,3.3,,
Energy Shots,Daily,12th Grade,2023,3.3,,
Energy Shots,Daily,12th Grade,2024,3,,
Energy Shots,Daily,8th Grade,2010,6.4,,
Energy Shots,Daily,8th Grade,2011,6.8,,
Energy Shots,Daily,8th Grade,2012,5.7,,
Energy Shots,Daily,8th Grade,2013,5.6,,
Energy Shots,Daily,8th Grade,2014,4.2,,
Energy Shots,Daily,8th Grade,2015,5.3,,
Energy Shots,Daily,8th Grade,2016,4.4,,
Energy Shots,Daily,8th Grade,2017,4,,
Energy Shots,Daily,8th Grade,2018,3.7,,
Energy Shots,Daily,8th Grade,2019,4.6,,
Energy Shots,Daily,8th Grade,2021,3.7,,
Energy Shots,Daily,8th Grade,2022,4.5,,
Energy Shots,Daily,8th Grade,2023,4,,
Energy Shots,Daily,8th Grade,2024,3.5,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2004,25.1,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2005,23.1,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2006,24.7,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2007,21.8,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2008,20.2,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2009,19,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2010,19.4,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2011,15.8,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2012,16.3,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2013,15.5,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2014,14,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2015,12.8,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2016,11,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2017,12.9,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2018,11.8,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2019,11.1,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2020,12.5,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2021,7.8,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2022,9.7,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2023,7.9,,
Flavored Alcoholic Beverages,30 Day,10th Grade,2024,5.6,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2004,31.1,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2005,30.5,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2006,29.3,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2007,29.1,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2008,27.4,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2009,27.4,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2010,24.1,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2011,23.1,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2012,21.8,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2013,21,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2014,19.9,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2015,20.8,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2016,18.3,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2017,20.2,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2018,18.1,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2019,18.5,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2021,15.3,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2022,21.2,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2023,17.9,,
Flavored Alcoholic Beverages,30 Day,12th Grade,2024,14.5,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2004,14.6,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2005,12.9,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2006,13.1,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2007,12.2,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2008,10.2,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2009,9.5,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2010,9.4,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2011,8.6,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2012,7.6,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2013,6.3,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2014,5.7,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2015,5.5,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2016,4,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2017,4.4,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2018,4.9,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2019,4.5,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2020,6.6,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2021,4.6,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2022,3.9,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2023,3.2,,
Flavored Alcoholic Beverages,30 Day,8th Grade,2024,2,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2004,49.7,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2005,48.5,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2006,48.8,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2007,45.9,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2008,43.4,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2009,41.5,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2010,41,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2011,38.3,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2012,37.8,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2013,35.6,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2014,33.2,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2015,31.4,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2016,26.1,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2017,28.3,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2018,28.8,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2019,26.8,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2020,29.6,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2021,18.8,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2022,22,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2023,19.8,,
Flavored Alcoholic Beverages,12 Month,10th Grade,2024,13.7,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2003,55.2,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2004,55.8,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2005,58.4,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2006,54.7,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2007,53.6,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2008,51.8,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2009,53.4,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2010,47.9,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2011,47,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2012,44.4,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2013,44.2,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2014,43.6,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2015,42.8,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2016,40,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2017,39.6,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2018,38.4,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2019,37.5,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2021,32.1,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2022,37.5,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2023,36.1,,
Flavored Alcoholic Beverages,12 Month,12th Grade,2024,27.3,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2004,30.4,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2005,27.9,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2006,26.8,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2007,26,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2008,25,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2009,22.2,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2010,21.9,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2011,19.2,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2012,17,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2013,15.7,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2014,13.4,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2015,13.4,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2016,11.2,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2017,10.8,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2018,12.1,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2019,10.7,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2020,14.7,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2021,10.2,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2022,10.1,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2023,8.9,,
Flavored Alcoholic Beverages,12 Month,8th Grade,2024,5.3,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2004,58.6,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2005,58.8,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2006,58.1,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2007,55.7,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2008,53.5,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2009,51.4,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2010,51.3,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2011,48.4,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2012,46.7,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2013,44.9,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2014,42.3,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2015,38.7,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2016,33.3,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2017,34.8,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2018,35.9,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2019,33.2,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2020,36.4,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2021,24.9,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2022,29,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2023,26.4,,
Flavored Alcoholic Beverages,Lifetime,10th Grade,2024,19,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2004,71,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2005,73.6,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2006,69.9,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2007,68.4,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2008,65.5,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2009,67.4,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2010,62.6,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2011,62.4,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2012,60.5,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2013,58.9,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2014,57.5,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2015,55.6,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2016,53.6,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2017,51.2,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2018,50.4,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2019,44.7,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2021,43.7,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2022,46.4,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2023,44.3,,
Flavored Alcoholic Beverages,Lifetime,12th Grade,2024,34.5,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2004,37.9,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2005,35.5,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2006,35.5,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2007,34,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2008,32.8,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2009,29.4,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2010,30,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2011,27,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2012,23.5,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2013,21.9,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2014,19.2,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2015,19.3,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2016,16.3,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2017,16,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2018,18,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2019,15.1,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2020,18.3,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2021,13.8,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2022,16.2,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2023,12.4,,
Flavored Alcoholic Beverages,Lifetime,8th Grade,2024,8.6,,
Flavored Little Cigars,30 Day,10th Grade,2014,6.9,,
Flavored Little Cigars,30 Day,10th Grade,2015,6.1,,
Flavored Little Cigars,30 Day,10th Grade,2016,4.9,,
Flavored Little Cigars,30 Day,10th Grade,2017,4,,
Flavored Little Cigars,30 Day,10th Grade,2018,5.3,,
Flavored Little Cigars,30 Day,10th Grade,2019,3.7,,
Flavored Little Cigars,30 Day,10th Grade,2020,3,,
Flavored Little Cigars,30 Day,10th Grade,2021,1.5,,
Flavored Little Cigars,30 Day,10th Grade,2022,1.4,,
Flavored Little Cigars,30 Day,10th Grade,2023,1.2,,
Flavored Little Cigars,30 Day,10th Grade,2024,0.5,,
Flavored Little Cigars,30 Day,12th Grade,2014,11.9,,
Flavored Little Cigars,30 Day,12th Grade,2015,11.4,,
Flavored Little Cigars,30 Day,12th Grade,2016,9.5,,
Flavored Little Cigars,30 Day,12th Grade,2017,10.1,,
Flavored Little Cigars,30 Day,12th Grade,2018,8.9,,
Flavored Little Cigars,30 Day,12th Grade,2019,7.7,,
Flavored Little Cigars,30 Day,12th Grade,2021,2.4,,
Flavored Little Cigars,30 Day,12th Grade,2022,2.7,,
Flavored Little Cigars,30 Day,12th Grade,2023,2,,
Flavored Little Cigars,30 Day,12th Grade,2024,1.9,,
Flavored Little Cigars,30 Day,8th Grade,2014,4.1,,
Flavored Little Cigars,30 Day,8th Grade,2015,4.1,,
Flavored Little Cigars,30 Day,8th Grade,2016,2.8,,
Flavored Little Cigars,30 Day,8th Grade,2017,2.6,,
Flavored Little Cigars,30 Day,8th Grade,2018,2.6,,
Flavored Little Cigars,30 Day,8th Grade,2019,2.2,,
Flavored Little Cigars,30 Day,8th Grade,2020,2.3,,
Flavored Little Cigars,30 Day,8th Grade,2021,1,,
Flavored Little Cigars,30 Day,8th Grade,2022,0.7,,
Flavored Little Cigars,30 Day,8th Grade,2023,0.6,,
Flavored Little Cigars,30 Day,8th Grade,2024,0.3,,
GHB,12 Month,10th Grade,2000,1.1,,
GHB,12 Month,10th Grade,2001,1,,
GHB,12 Month,10th Grade,2002,1.4,,
GHB,12 Month,10th Grade,2003,1.4,,
GHB,12 Month,10th Grade,2004,0.8,,
GHB,12 Month,10th Grade,2005,0.8,,
GHB,12 Month,10th Grade,2006,0.7,,
GHB,12 Month,10th Grade,2007,0.6,,
GHB,12 Month,10th Grade,2008,0.5,,
GHB,12 Month,10th Grade,2009,1,,
GHB,12 Month,10th Grade,2010,0.6,,
GHB,12 Month,10th Grade,2011,0.5,,
GHB,12 Month,12th Grade,2000,1.9,,
GHB,12 Month,12th Grade,2001,1.6,,
GHB,12 Month,12th Grade,2002,1.5,,
GHB,12 Month,12th Grade,2003,1.4,,
GHB,12 Month,12th Grade,2004,2,,
GHB,12 Month,12th Grade,2005,1.1,,
GHB,12 Month,12th Grade,2006,1.1,,
GHB,12 Month,12th Grade,2007,0.9,,
GHB,12 Month,12th Grade,2008,1.2,,
GHB,12 Month,12th Grade,2009,1.1,,
GHB,12 Month,12th Grade,2010,1.4,,
GHB,12 Month,12th Grade,2011,1.4,,
GHB,12 Month,12th Grade,2012,1.4,,
GHB,12 Month,12th Grade,2013,1,,
GHB,12 Month,12th Grade,2014,1,,
GHB,12 Month,12th Grade,2015,0.7,,
GHB,12 Month,12th Grade,2016,0.9,,
GHB,12 Month,12th Grade,2017,0.4,,
GHB,12 Month,12th Grade,2018,0.3,,
GHB,12 Month,12th Grade,2019,0.4,,
GHB,12 Month,12th Grade,2021,0.4,,
GHB,12 Month,12th Grade,2022,0.5,,
GHB,12 Month,12th Grade,2023,0.3,,
GHB,12 Month,12th Grade,2024,0.4,,
GHB,12 Month,8th Grade,2000,1.2,,
GHB,12 Month,8th Grade,2001,1.1,,
GHB,12 Month,8th Grade,2002,0.8,,
GHB,12 Month,8th Grade,2003,0.9,,
GHB,12 Month,8th Grade,2004,0.7,,
GHB,12 Month,8th Grade,2005,0.5,,
GHB,12 Month,8th Grade,2006,0.8,,
GHB,12 Month,8th Grade,2007,0.7,,
GHB,12 Month,8th Grade,2008,1.1,,
GHB,12 Month,8th Grade,2009,0.7,,
GHB,12 Month,8th Grade,2010,0.6,,
GHB,12 Month,8th Grade,2011,0.6,,
Hallucinogens,30 Day,10th Grade,1991,1.6,2000,
Hallucinogens,30 Day,10th Grade,1992,1.8,2000,
Hallucinogens,30 Day,10th Grade,1993,1.9,2000,
Hallucinogens,30 Day,10th Grade,1994,2.4,2000,
Hallucinogens,30 Day,10th Grade,1995,3.3,2000,
Hallucinogens,30 Day,10th Grade,1996,2.8,2000,
Hallucinogens,30 Day,10th Grade,1997,3.3,2000,
Hallucinogens,30 Day,10th Grade,1998,3.2,2000,
Hallucinogens,30 Day,10th Grade,1999,2.9,2000,
Hallucinogens,30 Day,10th Grade,2000,2.3,2000,
Hallucinogens,30 Day,10th Grade,2001,2.1,2000,
Hallucinogens,30 Day,10th Grade,2002,1.6,2000,
Hallucinogens,30 Day,10th Grade,2003,1.5,2000,
Hallucinogens,30 Day,10th Grade,2004,1.6,2000,
Hallucinogens,30 Day,10th Grade,2005,1.5,2000,
Hallucinogens,30 Day,10th Grade,2006,1.5,2000,
Hallucinogens,30 Day,10th Grade,2007,1.7,2000,
Hallucinogens,30 Day,10th Grade,2008,1.3,2000,
Hallucinogens,30 Day,10th Grade,2009,1.4,2000,
Hallucinogens,30 Day,10th Grade,2010,1.6,2000,
Hallucinogens,30 Day,10th Grade,2011,1.4,2000,
Hallucinogens,30 Day,10th Grade,2012,1.2,2000,
Hallucinogens,30 Day,10th Grade,2013,1.1,2000,
Hallucinogens,30 Day,10th Grade,2014,1.2,2000,
Hallucinogens,30 Day,10th Grade,2015,0.9,2000,
Hallucinogens,30 Day,10th Grade,2016,0.9,2000,
Hallucinogens,30 Day,10th Grade,2017,1.1,2000,
Hallucinogens,30 Day,10th Grade,2018,0.8,2000,
Hallucinogens,30 Day,10th Grade,2019,1.3,2000,
Hallucinogens,30 Day,10th Grade,2020,1.4,2000,
Hallucinogens,30 Day,10th Grade,2021,0.8,2000,
Hallucinogens,30 Day,10th Grade,2022,0.7,2000,
Hallucinogens,30 Day,10th Grade,2023,0.8,2000,
Hallucinogens,30 Day,10th Grade,2024,0.8,2000,
Hallucinogens,30 Day,12th Grade,1975,4.7,2000,
Hallucinogens,30 Day,12th Grade,1976,3.4,2000,
Hallucinogens,30 Day,12th Grade,1977,4.1,2000,
Hallucinogens,30 Day,12th Grade,1978,3.9,2000,
Hallucinogens,30 Day,12th Grade,1979,4,2000,
Hallucinogens,30 Day,12th Grade,1980,3.7,2000,
Hallucinogens,30 Day,12th Grade,1981,3.7,2000,
Hallucinogens,30 Day,12th Grade,1982,3.4,2000,
Hallucinogens,30 Day,12th Grade,1983,2.8,2000,
Hallucinogens,30 Day,12th Grade,1984,2.6,2000,
Hallucinogens,30 Day,12th Grade,1985,2.5,2000,
Hallucinogens,30 Day,12th Grade,1986,2.5,2000,
Hallucinogens,30 Day,12th Grade,1987,2.5,2000,
Hallucinogens,30 Day,12th Grade,1988,2.2,2000,
Hallucinogens,30 Day,12th Grade,1989,2.2,2000,
Hallucinogens,30 Day,12th Grade,1990,2.2,2000,
Hallucinogens,30 Day,12th Grade,1991,2.2,2000,
Hallucinogens,30 Day,12th Grade,1992,2.1,2000,
Hallucinogens,30 Day,12th Grade,1993,2.7,2000,
Hallucinogens,30 Day,12th Grade,1994,3.1,2000,
Hallucinogens,30 Day,12th Grade,1995,4.4,2000,
Hallucinogens,30 Day,12th Grade,1996,3.5,2000,
Hallucinogens,30 Day,12th Grade,1997,3.9,2000,
Hallucinogens,30 Day,12th Grade,1998,3.8,2000,
Hallucinogens,30 Day,12th Grade,1999,3.5,2000,
Hallucinogens,30 Day,12th Grade,2000,2.6,2000,
Hallucinogens,30 Day,12th Grade,2001,3.3,2000,
Hallucinogens,30 Day,12th Grade,2002,2.3,2000,
Hallucinogens,30 Day,12th Grade,2003,1.8,2000,
Hallucinogens,30 Day,12th Grade,2004,1.9,2000,
Hallucinogens,30 Day,12th Grade,2005,1.9,2000,
Hallucinogens,30 Day,12th Grade,2006,1.5,2000,
Hallucinogens,30 Day,12th Grade,2007,1.7,2000,
Hallucinogens,30 Day,12th Grade,2008,2.2,2000,
Hallucinogens,30 Day,12th Grade,2009,1.6,2000,
Hallucinogens,30 Day,12th Grade,2010,1.9,2000,
Hallucinogens,30 Day,12th Grade,2011,1.6,2000,
Hallucinogens,30 Day,12th Grade,2012,1.6,2000,
Hallucinogens,30 Day,12th Grade,2013,1.4,2000,
Hallucinogens,30 Day,12th Grade,2014,1.5,2000,
Hallucinogens,30 Day,12th Grade,2015,1.6,2000,
Hallucinogens,30 Day,12th Grade,2016,1.4,2000,
Hallucinogens,30 Day,12th Grade,2017,1.6,2000,
Hallucinogens,30 Day,12th Grade,2018,1.4,2000,
Hallucinogens,30 Day,12th Grade,2019,1.8,2000,
Hallucinogens,30 Day,12th Grade,2020,1.8,2000,
Hallucinogens,30 Day,12th Grade,2021,1,2000,
Hallucinogens,30 Day,12th Grade,2022,1.4,2000,
Hallucinogens,30 Day,12th Grade,2023,1.6,2000,
Hallucinogens,30 Day,12th Grade,2024,1.3,2000,
Hallucinogens,30 Day,8th Grade,1991,0.8,2000,
Hallucinogens,30 Day,8th Grade,1992,1.1,2000,
Hallucinogens,30 Day,8th Grade,1993,1.2,2000,
Hallucinogens,30 Day,8th Grade,1994,1.3,2000,
Hallucinogens,30 Day,8th Grade,1995,1.7,2000,
Hallucinogens,30 Day,8th Grade,1996,1.9,2000,
Hallucinogens,30 Day,8th Grade,1997,1.8,2000,
Hallucinogens,30 Day,8th Grade,1998,1.4,2000,
Hallucinogens,30 Day,8th Grade,1999,1.3,2000,
Hallucinogens,30 Day,8th Grade,2000,1.2,2000,
Hallucinogens,30 Day,8th Grade,2001,1.6,2000,
Hallucinogens,30 Day,8th Grade,2002,1.2,2000,
Hallucinogens,30 Day,8th Grade,2003,1.2,2000,
Hallucinogens,30 Day,8th Grade,2004,1,2000,
Hallucinogens,30 Day,8th Grade,2005,1.1,2000,
Hallucinogens,30 Day,8th Grade,2006,0.9,2000,
Hallucinogens,30 Day,8th Grade,2007,1,2000,
Hallucinogens,30 Day,8th Grade,2008,0.9,2000,
Hallucinogens,30 Day,8th Grade,2009,0.9,2000,
Hallucinogens,30 Day,8th Grade,2010,1,2000,
Hallucinogens,30 Day,8th Grade,2011,1,2000,
Hallucinogens,30 Day,8th Grade,2012,0.6,2000,
Hallucinogens,30 Day,8th Grade,2013,0.8,2000,
Hallucinogens,30 Day,8th Grade,2014,0.5,2000,
Hallucinogens,30 Day,8th Grade,2015,0.6,2000,
Hallucinogens,30 Day,8th Grade,2016,0.6,2000,
Hallucinogens,30 Day,8th Grade,2017,0.5,2000,
Hallucinogens,30 Day,8th Grade,2018,0.6,2000,
Hallucinogens,30 Day,8th Grade,2019,0.6,2000,
Hallucinogens,30 Day,8th Grade,2020,0.9,2000,
Hallucinogens,30 Day,8th Grade,2021,0.4,2000,
Hallucinogens,30 Day,8th Grade,2022,0.5,2000,
Hallucinogens,30 Day,8th Grade,2023,0.5,2000,
Hallucinogens,30 Day,8th Grade,2024,0.5,2000,
Hallucinogens,12 Month,10th Grade,1991,4,2000,
Hallucinogens,12 Month,10th Grade,1992,4.3,2000,
Hallucinogens,12 Month,10th Grade,1993,4.7,2000,
Hallucinogens,12 Month,10th Grade,1994,5.8,2000,
Hallucinogens,12 Month,10th Grade,1995,7.2,2000,
Hallucinogens,12 Month,10th Grade,1996,7.8,2000,
Hallucinogens,12 Month,10th Grade,1997,7.6,2000,
Hallucinogens,12 Month,10th Grade,1998,6.9,2000,
Hallucinogens,12 Month,10th Grade,1999,6.9,2000,
Hallucinogens,12 Month,10th Grade,2000,6.1,2000,
Hallucinogens,12 Month,10th Grade,2001,6.2,2000,
Hallucinogens,12 Month,10th Grade,2002,4.7,2000,
Hallucinogens,12 Month,10th Grade,2003,4.1,2000,
Hallucinogens,12 Month,10th Grade,2004,4.1,2000,
Hallucinogens,12 Month,10th Grade,2005,4,2000,
Hallucinogens,12 Month,10th Grade,2006,4.1,2000,
Hallucinogens,12 Month,10th Grade,2007,4.4,2000,
Hallucinogens,12 Month,10th Grade,2008,3.9,2000,
Hallucinogens,12 Month,10th Grade,2009,4.1,2000,
Hallucinogens,12 Month,10th Grade,2010,4.2,2000,
Hallucinogens,12 Month,10th Grade,2011,4.1,2000,
Hallucinogens,12 Month,10th Grade,2012,3.5,2000,
Hallucinogens,12 Month,10th Grade,2013,3.4,2000,
Hallucinogens,12 Month,10th Grade,2014,3.3,2000,
Hallucinogens,12 Month,10th Grade,2015,3.1,2000,
Hallucinogens,12 Month,10th Grade,2016,2.9,2000,
Hallucinogens,12 Month,10th Grade,2017,2.8,2000,
